,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
268,J0217.8+0143,fsrq,J0217.8+0146,J0217.9+0144,J0217.9+0143
269,J0218.1+4233,PSR,,J0218.1+4232,J0218.1+4233
270,J0218.9+3642,bcu,,,J0219.2+3641
271,J0219.0+2440,bcu,,,
272,J0220.1+6202c,spp,,J0218.8+6158c,
273,J0221.1+3556,FSRQ,J0220.9+3607,J0221.0+3555,J0221.0+3555
274,J0221.1+6059,,,,
275,J0221.2+2518,,,,J0221.2+2516
276,J0221.8+6138c,,,,
277,J0222.1-1616,fsrq,,J0222.1-1618,J0222.0-1615
278,J0222.6+4301,BLL,J0222.6+4302,J0222.6+4302,J0222.6+4302
279,J0222.9-1117,bll,,J0223.0-1118,J0223.0-1118
280,J0223.3+6820,bcu,,,J0222.7+6820
281,J0223.5+6313,bcu,,,
282,J0223.6+6204,,,,J0224.0+6204
283,J0223.6+3927,,,,
284,J0224.0+6235,spp,,,
285,J0224.1-7941,bcu,,,
286,J0224.1-1846,,,,
287,J0224.4+1615,,,,
288,J0225.2-2602,bcu,,,
289,J0225.8+6159,,,,J0225.9+6154c
290,J0226.3+0941,fsrq,,J0226.3+0937,J0226.1+0943
291,J0226.5-4442,bcu,,,J0226.5-4444
292,J0226.7-4747,,,,
293,J0227.2+0201,bll,,,J0227.3+0203
294,J0228.0+2248,bcu,,,J0227.7+2249
295,J0228.3-5545,fsrq,,,
296,J0228.5+6703,bcu,,,
297,J0228.5+8213,,,,
298,J0228.7-3106,bcu,,,
299,J0229.3-3643,fsrq,J0229.5-3640,J0229.3-3644,J0229.3-3644
300,J0230.6-5757,bll,,,
301,J0230.8+4032,fsrq,,J0230.8+4031,J0230.8+4031
302,J0231.0+1302,,,,
303,J0232.6+0646,,,,
304,J0232.8+2016,bll,,,
305,J0232.9+2606,bcu,,,
306,J0233.0+6237,,,,J0233.9+6238c
307,J0234.2-0629,,,,
308,J0235.7+5647,,,,
309,J0236.7-6136,fsrq,,J0238.3-6132,J0237.1-6136
310,J0237.5-3603,bll,,J0237.5-3603,J0237.5-3603
311,J0237.9+2848,FSRQ,J0238.4+2855,J0237.9+2848,J0237.8+2846
312,J0238.0+5237,,,,J0237.9+5238
313,J0238.3-3904,bll,,,J0238.2-3905
314,J0238.4-3117,bll,,J0238.6-3117,J0238.6-3117
315,J0238.6+1636,BLL,J0238.6+1636,J0238.6+1637,J0238.7+1637
316,J0239.0+2555,,,,
317,J0239.4+1326,,,J0239.5+1324,J0239.5+1324
318,J0240.0-0253,,,,
319,J0240.5+6113,HMB,J0240.3+6113,J0240.5+6113,J0240.5+6113
320,J0241.3+6542,bcu,,,
321,J0242.1-0534,,,,
322,J0242.3+1059,fsrq,,,
323,J0242.7-0001,sbg,,J0242.7+0007,J0242.5+0006
324,J0243.5+7119,bll,,J0243.5+7116,J0242.9+7118
325,J0244.4-8224,bcu,,,
326,J0244.4+4745,,,,
327,J0244.8-5818,bll,,,
328,J0245.4+2410,fsrq,,J0245.4+2413,J0245.1+2406
329,J0245.9-4651,fsrq,J0245.6-4656,J0245.9-4652,J0245.9-4652
330,J0248.4+5130,,,J0248.7+5127,J0248.5+5131
331,J0248.5+4232,psr,,,
332,J0248.5+6022,PSR,,J0248.3+6021,J0248.1+6021
333,J0249.1+8438,bcu,,,J0248.6+8440
334,J0250.6+1713,fsrq,,J0250.4+1715,J0250.6+1713
335,J0250.6+5630,bcu,,J0251.5+5634,J0250.7+5631
336,J0251.1+2603,psr,,,J0251.0+2557
337,J0251.1-1829,,,,
338,J0251.5-5959,fsrq,,,
339,J0252.3+3830,fsrq,,,
340,J0252.8-2218,fsrq,,J0252.8-2219,J0252.7-2218
341,J0253.0-0125,bll,,,
342,J0253.1-5438,fsrq,,,
343,J0253.5+3216,bcu,,,J0253.4+3218
344,J0253.8+5104,fsrq,,J0254.2+5107,J0253.5+5107
345,J0254.2+5903,,,,J0253.9+5908
346,J0255.8+0532,bcu,,,
347,J0256.3+0335,bcu,,,
348,J0257.8-1216,fsrq,,J0257.8-1204,J0257.7-1213
349,J0258.0+2030,bll,,J0258.0+2033,J0257.9+2025c
350,J0258.2+3555,,,,
351,J0258.9+0552,,,,
352,J0259.5+0746,fsrq,,J0259.5+0743,J0259.5+0740
353,J0301.4-1652,bcu,,,
354,J0301.8-7157,bcu,,,
355,J0301.8-2721,bcu,,,
356,J0302.0+5335,bcu,,,
357,J0302.5-7915,fsrq,,,J0302.7-7919
358,J0303.0+3150,bcu,,,
359,J0303.4-2407,BLL,J0303.7-2410,J0303.5-2406,J0303.4-2407
360,J0303.6+4716,bll,,J0303.1+4711,J0303.5+4713
361,J0303.7-6211,fsrq,,J0303.4-6209,J0303.5-6209
362,J0304.3-2836,bll,,,J0304.5-2836
363,J0304.9+6817,bcu,,,J0303.5+6822
364,J0305.2-1607,bcu,,J0305.2-1601,J0305.0-1602
365,J0307.3+4916,,,J0307.5+4916,J0307.4+4915
366,J0308.0+7442,PSR,,J0308.6+7442,J0308.3+7442
367,J0308.4-2852,,,,
368,J0308.6+0408,rdg,,J0308.3+0403,
369,J0309.0+1029,fsrq,,,J0309.1+1027
370,J0309.5-0749,bll,,,J0309.3-0743
371,J0309.9-6057,fsrq,,J0310.1-6058,J0310.0-6058
372,J0310.4-5015,bcu,,,J0310.2-5013
