,3FGL,CLASS1-3FGL,4FGLDR1,CLASS1-4FGLDR1,4FGLDR1-3FGL,4FGLDR2,CLASS1-4FGLDR2,4FGLDR2-3FGL,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL,status
1453,J1203.5-3925,bcu,J1203.4-3925,bll,J1203.5-3925,J1203.4-3925,bll,J1203.5-3925,J1203.4-3925,bll,J1203.5-3925,J1203.4-3925,bll,J1203.5-3925,3
1456,J1204.0+1144,bll,J1204.0+1146,bll,J1204.0+1144,J1204.0+1146,bll,J1204.0+1144,J1204.0+1146,bll,J1204.0+1144,J1204.0+1146,bll,J1204.0+1144,2
1457,J1204.3-0708,bll,J1204.2-0709,bll,J1204.3-0708,J1204.2-0709,bll,J1204.3-0708,J1204.2-0709,bll,J1204.3-0708,J1204.2-0709,bll,J1204.3-0708,2
1459,J1205.8-2636,fsrq,J1205.7-2635,fsrq,J1205.8-2636,J1205.7-2635,fsrq,J1205.8-2636,J1205.7-2635,fsrq,J1205.8-2636,J1205.7-2635,fsrq,J1205.8-2636,2
1462,J1207.2-5052,psr,J1207.4-5050,PSR,J1207.2-5052,J1207.4-5050,PSR,J1207.2-5052,J1207.4-5050,MSP,J1207.2-5052,J1207.4-5050,MSP,J1207.2-5052,3
1464,J1207.6-2232,bcu,J1207.7-2229,bll,J1207.6-2232,J1207.7-2229,bll,J1207.6-2232,J1207.7-2229,bll,J1207.6-2232,J1207.7-2229,bll,J1207.6-2232,3
1466,J1208.2-7810c,bcu,J1208.2-7810,bcu,J1208.2-7810c,J1208.2-7810,bcu,J1208.2-7810c,J1208.2-7810,bcu,J1208.2-7810c,J1208.2-7810,bcu,J1208.2-7810c,2
1468,J1208.7+5442,fsrq,J1208.9+5441,fsrq,J1208.7+5442,J1208.9+5441,fsrq,J1208.7+5442,J1208.9+5441,fsrq,J1208.7+5442,J1208.9+5441,fsrq,J1208.7+5442,2
1470,J1209.4+4119,bll,J1209.4+4118,bll,J1209.4+4119,J1209.4+4118,bll,J1209.4+4119,J1209.4+4118,bll,J1209.4+4119,J1209.4+4118,bll,J1209.4+4119,2
1471,J1209.8+1810,fsrq,J1209.8+1810,fsrq,J1209.8+1810,J1209.8+1810,fsrq,J1209.8+1810,J1209.8+1810,fsrq,J1209.8+1810,J1209.8+1810,fsrq,J1209.8+1810,2
1476,J1212.6+5135,bll,J1213.0+5129,bll,J1212.6+5135,J1213.0+5129,bll,J1212.6+5135,J1213.0+5129,bll,J1212.6+5135,J1213.0+5129,bll,J1212.6+5135,2
1477,J1213.1-2619,bll,J1213.3-2618,bll,J1213.1-2619,J1213.3-2618,bll,J1213.1-2619,J1213.3-2618,bll,J1213.1-2619,J1213.3-2618,bll,J1213.1-2619,2
1478,J1213.7+1306,fsrq,J1213.6+1306,fsrq,J1213.7+1306,J1213.6+1306,fsrq,J1213.7+1306,J1213.6+1306,fsrq,J1213.7+1306,J1213.6+1306,fsrq,J1213.7+1306,2
1482,J1215.0+5002,bll,J1215.1+5002,bll,J1215.0+5002,J1215.1+5002,bll,J1215.0+5002,J1215.1+5002,bll,J1215.0+5002,J1215.1+5002,bll,J1215.0+5002,2
1483,J1215.1+1658,fsrq,J1215.0+1656,fsrq,J1215.1+1658,J1215.0+1656,fsrq,J1215.1+1658,J1215.0+1656,fsrq,J1215.1+1658,J1215.0+1656,fsrq,J1215.1+1658,2
1486,J1217.8+3007,bll,J1217.9+3007,BLL,J1217.8+3007,J1217.9+3007,BLL,J1217.8+3007,J1217.9+3007,BLL,J1217.8+3007,J1217.9+3007,BLL,J1217.8+3007,3
1487,J1218.0-0029,bll,J1218.0-0028,bll,J1218.0-0029,J1218.0-0028,bll,J1218.0-0029,J1218.0-0028,bll,J1218.0-0029,J1218.0-0028,bll,J1218.0-0029,2
1488,J1218.4-0121,bll,J1218.5-0119,bll,J1218.4-0121,J1218.5-0119,bll,J1218.4-0121,J1218.5-0119,bll,J1218.4-0121,J1218.5-0119,bll,J1218.4-0121,2
1490,J1218.8-4827,bcu,J1219.0-4827,bcu,J1218.8-4827,J1219.0-4827,bll,J1218.8-4827,J1219.0-4827,bll,J1218.8-4827,J1219.0-4827,bll,J1218.8-4827,3
1491,J1219.7-0314,bll,J1219.7-0313,bll,J1219.7-0314,J1219.7-0313,bll,J1219.7-0314,J1219.7-0313,bll,J1219.7-0314,J1219.7-0313,bll,J1219.7-0314,2
1494,J1220.2+3434,bll,J1220.1+3432,bll,J1220.2+3434,J1220.1+3432,bll,J1220.2+3434,J1220.1+3432,bll,J1220.2+3434,J1220.1+3432,bll,J1220.2+3434,2
1495,J1220.2+7105,fsrq,J1220.1+7105,fsrq,J1220.2+7105,J1220.1+7105,fsrq,J1220.2+7105,J1220.1+7105,fsrq,J1220.2+7105,J1220.1+7105,fsrq,J1220.2+7105,2
1497,J1221.3+3010,bll,J1221.3+3010,bll,J1221.3+3010,J1221.3+3010,bll,J1221.3+3010,J1221.3+3010,bll,J1221.3+3010,J1221.3+3010,bll,J1221.3+3010,2
1498,J1221.4+2814,bll,J1221.5+2814,bll,J1221.4+2814,J1221.5+2814,bll,J1221.4+2814,J1221.5+2814,bll,J1221.4+2814,J1221.5+2814,bll,J1221.4+2814,2
1500,J1222.4+0414,fsrq,J1222.5+0414,fsrq,J1222.4+0414,J1222.5+0414,fsrq,J1222.4+0414,J1222.5+0414,fsrq,J1222.4+0414,J1222.5+0414,fsrq,J1222.4+0414,2
1502,J1222.7+8041,bll,J1223.8+8039,bll,J1222.7+8041,J1223.8+8039,bll,J1222.7+8041,J1223.8+8039,bll,J1222.7+8041,J1223.8+8039,bll,J1222.7+8041,2
1506,J1223.3-3028,bcu,J1223.6-3032,bcu,J1223.3-3028,J1223.6-3032,bll,J1223.3-3028,J1223.6-3032,bll,J1223.3-3028,J1223.6-3032,bll,J1223.3-3028,3
1507,J1224.5+4957,fsrq,J1223.9+5000,fsrq,J1224.5+4957,J1223.9+5000,fsrq,J1224.5+4957,J1223.9+5000,fsrq,J1224.5+4957,J1223.9+5000,fsrq,J1224.5+4957,2
1508,J1224.5+2436,bll,J1224.4+2436,bll,J1224.5+2436,J1224.4+2436,bll,J1224.5+2436,J1224.4+2436,bll,J1224.5+2436,J1224.4+2436,bll,J1224.5+2436,2
1509,J1224.6+4332,bll,J1224.9+4334,bll,J1224.6+4332,J1224.9+4334,bll,J1224.6+4332,J1224.9+4334,bll,J1224.6+4332,J1224.9+4334,bll,J1224.6+4332,2
1510,J1224.6-8312,bcu,J1224.7-8313,bcu,J1224.6-8312,J1224.7-8313,bcu,J1224.6-8312,J1224.7-8313,bcu,J1224.6-8312,J1224.7-8313,bcu,J1224.6-8312,2
1511,J1224.9+2122,FSRQ,J1224.9+2122,FSRQ,J1224.9+2122,J1224.9+2122,FSRQ,J1224.9+2122,J1224.9+2122,FSRQ,J1224.9+2122,J1224.9+2122,FSRQ,J1224.9+2122,2
1513,J1225.7-7314,bcu,J1225.6-7313,bcu,J1225.7-7314,J1225.6-7313,bcu,J1225.7-7314,J1225.6-7313,bcu,J1225.7-7314,J1225.6-7313,bcu,J1225.7-7314,2
1515,J1226.8+0638,bll,J1226.7+0637,bll,J1226.8+0638,J1226.7+0637,bll,J1226.8+0638,J1226.7+0637,bll,J1226.8+0638,J1226.7+0637,bll,J1226.8+0638,2
1516,J1226.9-1329,bll,J1226.8-1329,bll,J1226.9-1329,J1226.8-1329,bll,J1226.9-1329,J1226.8-1329,bll,J1226.9-1329,J1226.8-1329,bll,J1226.9-1329,2
1517,J1227.9-4854,psr,J1228.0-4853,PSR,J1227.9-4854,J1228.0-4853,PSR,J1227.9-4854,J1228.0-4853,MSP,J1227.9-4854,J1228.0-4853,MSP,J1227.9-4854,3
1519,J1228.7+4857,fsrq,J1228.7+4858,fsrq,J1228.7+4857,J1228.7+4858,fsrq,J1228.7+4857,J1228.7+4858,fsrq,J1228.7+4857,J1228.7+4858,fsrq,J1228.7+4857,2
1520,J1229.1+0202,FSRQ,J1229.0+0202,FSRQ,J1229.1+0202,J1229.0+0202,FSRQ,J1229.1+0202,J1229.0+0202,FSRQ,J1229.1+0202,J1229.0+0202,FSRQ,J1229.1+0202,2
1521,J1229.8-5305,bcu,J1229.7-5304,bcu,J1229.8-5305,J1229.7-5304,bll,J1229.8-5305,J1229.7-5304,bll,J1229.8-5305,J1229.7-5304,bll,J1229.8-5305,3
1522,J1230.3+2519,bll,J1230.2+2517,bll,J1230.3+2519,J1230.2+2517,bll,J1230.3+2519,J1230.2+2517,bll,J1230.3+2519,J1230.2+2517,bll,J1230.3+2519,2
1523,J1230.9+1224,rdg,J1230.8+1223,rdg,J1230.9+1224,J1230.8+1223,rdg,J1230.9+1224,J1230.8+1223,rdg,J1230.9+1224,J1230.8+1223,rdg,J1230.9+1224,2
1524,J1231.2-1411,PSR,J1231.1-1412,PSR,J1231.2-1411,J1231.1-1412,PSR,J1231.2-1411,J1231.1-1412,MSP,J1231.2-1411,J1231.1-1412,MSP,J1231.2-1411,3
1525,J1231.5+6414,bll,J1231.6+6415,bll,J1231.5+6414,J1231.6+6415,bll,J1231.5+6414,J1231.6+6415,bll,J1231.5+6414,J1231.6+6415,bll,J1231.5+6414,2
1529,J1231.7+2847,bll,J1231.7+2847,bll,J1231.7+2847,J1231.7+2847,bll,J1231.7+2847,J1231.7+2847,bll,J1231.7+2847,J1231.7+2847,bll,J1231.7+2847,2
1530,J1231.8+1421,bll,J1231.5+1421,bll,J1231.8+1421,J1231.5+1421,bll,J1231.8+1421,J1231.5+1421,bll,J1231.8+1421,J1231.5+1421,bll,J1231.8+1421,2
1534,J1233.7-0145,bll,J1233.7-0144,bll,J1233.7-0145,J1233.7-0144,bll,J1233.7-0145,J1233.7-0144,bll,J1233.7-0145,J1233.7-0144,bll,J1233.7-0145,2
1535,J1233.9-5736,bcu,J1234.0-5735,bcu,J1233.9-5736,J1234.0-5735,bcu,J1233.9-5736,J1234.0-5735,bcu,J1233.9-5736,J1234.0-5735,bcu,J1233.9-5736,2
1539,J1236.6+3901,bll,J1236.3+3858,bll,J1236.6+3901,J1236.3+3858,bll,J1236.6+3901,J1236.3+3858,bll,J1236.6+3901,J1236.3+3858,bll,J1236.6+3901,2
1540,J1237.9+6258,bll,J1237.8+6256,bll,J1237.9+6258,J1237.8+6256,bll,J1237.9+6258,J1237.8+6256,bll,J1237.9+6258,J1237.8+6256,bll,J1237.9+6258,2
1541,J1238.2-1958,bcu,J1238.3-1959,bll,J1238.2-1958,J1238.3-1959,bll,J1238.2-1958,J1238.3-1959,bll,J1238.2-1958,J1238.3-1959,bll,J1238.2-1958,3
1542,J1238.3-4543,bcu,J1238.1-4541,bcu,J1238.3-4543,J1238.1-4541,bll,J1238.3-4543,J1238.1-4541,bll,J1238.3-4543,J1238.1-4541,bll,J1238.3-4543,3
1544,J1239.4+0727,bcu,J1239.4+0728,bcu,J1239.4+0727,J1239.4+0728,bll,J1239.4+0727,J1239.4+0728,bll,J1239.4+0727,J1239.4+0728,bll,J1239.4+0727,3
1545,J1239.5+0443,fsrq,J1239.5+0443,fsrq,J1239.5+0443,J1239.5+0443,fsrq,J1239.5+0443,J1239.5+0443,fsrq,J1239.5+0443,J1239.5+0443,fsrq,J1239.5+0443,2
1547,J1241.6-1456,bll,J1241.8-1456,bll,J1241.6-1456,J1241.8-1456,bll,J1241.6-1456,J1241.8-1456,bll,J1241.6-1456,J1241.8-1456,bll,J1241.6-1456,2
1548,J1241.9+0639,bll,J1241.9+0636,bll,J1241.9+0639,J1241.9+0636,bll,J1241.9+0639,J1241.9+0636,bll,J1241.9+0639,J1241.9+0636,bll,J1241.9+0639,2
1549,J1243.1+3627,bll,J1243.2+3627,bll,J1243.1+3627,J1243.2+3627,bll,J1243.1+3627,J1243.2+3627,bll,J1243.1+3627,J1243.2+3627,bll,J1243.1+3627,2
1550,J1243.9-0217,bcu,J1243.9-0218,bcu,J1243.9-0217,J1243.9-0218,bcu,J1243.9-0217,J1243.9-0218,bcu,J1243.9-0217,J1243.9-0218,bcu,J1243.9-0217,2
1551,J1244.1+1615,bll,J1244.5+1616,bll,J1244.1+1615,J1244.5+1616,bll,J1244.1+1615,J1244.5+1616,bll,J1244.1+1615,J1244.5+1616,bll,J1244.1+1615,2
1554,J1244.3-4955,bcu,J1244.2-4956,bcu,J1244.3-4955,J1244.2-4956,bcu,J1244.3-4955,J1244.2-4956,bcu,J1244.3-4955,J1244.2-4956,bcu,J1244.3-4955,2
1555,J1244.8+5707,bll,J1245.1+5709,bll,J1244.8+5707,J1245.1+5709,bll,J1244.8+5707,J1245.1+5709,bll,J1244.8+5707,J1245.1+5709,bll,J1244.8+5707,2
1556,J1246.7-2547,fsrq,J1246.7-2548,fsrq,J1246.7-2547,J1246.7-2548,fsrq,J1246.7-2547,J1246.7-2548,fsrq,J1246.7-2547,J1246.7-2548,fsrq,J1246.7-2547,2
1557,J1247.0+4421,bll,J1247.0+4421,bll,J1247.0+4421,J1247.0+4421,bll,J1247.0+4421,J1247.0+4421,bll,J1247.0+4421,J1247.0+4421,bll,J1247.0+4421,2
1558,J1248.0+5130,bll,J1248.7+5127,bll,J1248.0+5130,J1248.7+5127,bll,J1248.0+5130,J1248.7+5127,bll,J1248.0+5130,J1248.7+5127,bll,J1248.0+5130,2
1559,J1248.2+5820,bll,J1248.3+5820,bll,J1248.2+5820,J1248.3+5820,bll,J1248.2+5820,J1248.3+5820,bll,J1248.2+5820,J1248.3+5820,bll,J1248.2+5820,2
1562,J1249.7+3705,bll,J1249.8+3707,bll,J1249.7+3705,J1249.8+3707,bll,J1249.7+3705,J1249.8+3707,bll,J1249.7+3705,J1249.8+3707,bll,J1249.7+3705,2
1564,J1250.5+0217,bll,J1250.6+0217,bll,J1250.5+0217,J1250.6+0217,bll,J1250.5+0217,J1250.6+0217,bll,J1250.5+0217,J1250.6+0217,bll,J1250.5+0217,2
1565,J1251.0-0203,bcu,J1251.3-0201,bcu,J1251.0-0203,J1251.3-0201,bcu,J1251.0-0203,J1251.3-0201,bcu,J1251.0-0203,J1251.3-0201,bcu,J1251.0-0203,2
1567,J1251.3+1041,bll,J1251.2+1039,bll,J1251.3+1041,J1251.2+1039,bll,J1251.3+1041,J1251.2+1039,bll,J1251.3+1041,J1251.2+1039,bll,J1251.3+1041,2
1568,J1253.2+5300,bll,J1253.2+5301,bll,J1253.2+5300,J1253.2+5301,bll,J1253.2+5300,J1253.2+5301,bll,J1253.2+5300,J1253.2+5301,bll,J1253.2+5300,2
1569,J1253.7+0327,bll,J1253.8+0327,bll,J1253.7+0327,J1253.8+0327,bll,J1253.7+0327,J1253.8+0327,bll,J1253.7+0327,J1253.8+0327,bll,J1253.7+0327,2
1570,J1254.1-2203,bcu,J1254.2-2205,bcu,J1254.1-2203,J1254.2-2205,bcu,J1254.1-2203,J1254.2-2205,bcu,J1254.1-2203,J1254.2-2205,bcu,J1254.1-2203,2
1571,J1254.1+6240,bll,J1253.8+6242,bll,J1254.1+6240,J1253.8+6242,bll,J1254.1+6240,J1253.8+6242,bll,J1254.1+6240,J1253.8+6242,bll,J1254.1+6240,2
1572,J1254.5+2210,bll,J1254.5+2210,bll,J1254.5+2210,J1254.5+2210,bll,J1254.5+2210,J1254.5+2210,bll,J1254.5+2210,J1254.5+2210,bll,J1254.5+2210,2
1573,J1254.9-4423,bll,J1254.9-4426,bll,J1254.9-4423,J1254.9-4426,bll,J1254.9-4423,J1254.9-4426,bll,J1254.9-4423,J1254.9-4426,bll,J1254.9-4423,2
1574,J1256.1-0547,FSRQ,J1256.1-0547,FSRQ,J1256.1-0547,J1256.1-0547,FSRQ,J1256.1-0547,J1256.1-0547,FSRQ,J1256.1-0547,J1256.1-0547,FSRQ,J1256.1-0547,2
1576,J1256.1-5919,bcu,J1256.1-5919,bcu,J1256.1-5919,J1256.1-5919,bcu,J1256.1-5919,J1256.1-5919,bcu,J1256.1-5919,J1256.1-5919,bcu,J1256.1-5919,2
1577,J1256.3-1146,bcu,J1256.2-1146,bll,J1256.3-1146,J1256.2-1146,bll,J1256.3-1146,J1256.2-1146,bll,J1256.3-1146,J1256.2-1146,bll,J1256.3-1146,3
1581,J1258.0+6120,bll,J1258.3+6121,bll,J1258.0+6120,J1258.3+6121,bll,J1258.0+6120,J1258.3+6121,bll,J1258.0+6120,J1258.3+6121,bll,J1258.0+6120,2
1584,J1258.6-1800,fsrq,J1258.6-1759,fsrq,J1258.6-1800,J1258.6-1759,fsrq,J1258.6-1800,J1258.6-1759,fsrq,J1258.6-1800,J1258.6-1759,fsrq,J1258.6-1800,2
1585,J1258.7-2219,fsrq,J1258.8-2219,fsrq,J1258.7-2219,J1258.8-2219,fsrq,J1258.7-2219,J1258.8-2219,fsrq,J1258.7-2219,J1258.8-2219,fsrq,J1258.7-2219,2
1586,J1258.7+5137,bcu,J1258.7+5143,bcu,J1258.7+5137,J1258.7+5143,bcu,J1258.7+5137,J1258.7+5143,bcu,J1258.7+5137,J1258.7+5143,bcu,J1258.7+5137,2
1587,J1259.0-2310,bcu,J1259.1-2311,bll,J1259.0-2310,J1259.1-2311,bll,J1259.0-2310,J1259.1-2311,bll,J1259.0-2310,J1259.1-2311,bll,J1259.0-2310,3
1590,J1259.8-3749,bcu,J1259.8-3749,bll,J1259.8-3749,J1259.8-3749,bll,J1259.8-3749,J1259.8-3749,bll,J1259.8-3749,J1259.8-3749,bll,J1259.8-3749,3
1591,J1300.2+1416,fsrq,J1300.4+1416,fsrq,J1300.2+1416,J1300.4+1416,fsrq,J1300.2+1416,J1300.4+1416,fsrq,J1300.2+1416,J1300.4+1416,fsrq,J1300.2+1416,2
1593,J1301.6+0832,PSR,J1301.6+0834,PSR,J1301.6+0832,J1301.6+0834,PSR,J1301.6+0832,J1301.6+0834,MSP,J1301.6+0832,J1301.6+0834,MSP,J1301.6+0832,3
1594,J1302.3-3259,PSR,J1302.4-3258,PSR,J1302.3-3259,J1302.4-3258,PSR,J1302.3-3259,J1302.4-3258,MSP,J1302.3-3259,J1302.4-3258,MSP,J1302.3-3259,3
1595,J1302.6+5748,bcu,J1302.8+5748,bcu,J1302.6+5748,J1302.8+5748,bll,J1302.6+5748,J1302.8+5748,bll,J1302.6+5748,J1302.8+5748,bll,J1302.6+5748,3
1596,J1303.0-6312e,PWN,J1303.0-6312e,PWN,J1303.0-6312e,J1303.0-6312e,PWN,J1303.0-6312e,J1303.0-6312e,PWN,J1303.0-6312e,J1303.0-6312e,PWN,J1303.0-6312e,2
1597,J1303.0+2435,bll,J1303.0+2434,bll,J1303.0+2435,J1303.0+2434,bll,J1303.0+2435,J1303.0+2434,bll,J1303.0+2435,J1303.0+2434,bll,J1303.0+2435,2
1598,J1303.7-4619,fsrq,J1303.6-4622,fsrq,J1303.7-4619,J1303.6-4622,fsrq,J1303.7-4619,J1303.6-4622,fsrq,J1303.7-4619,J1303.6-4622,fsrq,J1303.7-4619,2
1599,J1304.2-2411,bcu,J1304.2-2412,bll,J1304.2-2411,J1304.2-2412,bll,J1304.2-2411,J1304.2-2412,bll,J1304.2-2411,J1304.2-2412,bll,J1304.2-2411,3
1600,J1304.3-5535,bcu,J1304.0-5539,bcu,J1304.3-5535,J1304.0-5539,bcu,J1304.3-5535,J1304.0-5539,bcu,J1304.3-5535,J1304.0-5539,bcu,J1304.3-5535,2
1601,J1304.3-4353,bll,J1304.3-4353,bll,J1304.3-4353,J1304.3-4353,bll,J1304.3-4353,J1304.3-4353,bll,J1304.3-4353,J1304.3-4353,bll,J1304.3-4353,2
1603,J1304.8-0338,fsrq,J1304.6-0348,fsrq,J1304.8-0338,J1304.6-0348,fsrq,J1304.8-0338,J1304.6-0348,fsrq,J1304.8-0338,J1304.6-0348,fsrq,J1304.8-0338,2
1604,J1304.9-2109,bcu,J1304.9-2107,bcu,J1304.9-2109,J1304.9-2107,bcu,J1304.9-2109,J1304.9-2107,bcu,J1304.9-2109,J1304.9-2107,bcu,J1304.9-2109,2
1605,J1305.4-4926,sbg,J1305.4-4928,sbg,J1305.4-4926,J1305.4-4928,sbg,J1305.4-4926,J1305.4-4928,sbg,J1305.4-4926,J1305.4-4928,sbg,J1305.4-4926,2
1606,J1305.5+7854,bll,J1305.6+7853,bll,J1305.5+7854,J1305.6+7853,bll,J1305.5+7854,J1305.6+7853,bll,J1305.5+7854,J1305.6+7853,bll,J1305.5+7854,2
1607,J1305.7-6241,snr,J1305.5-6241,snr,J1305.7-6241,J1305.5-6241,snr,J1305.7-6241,J1305.5-6241,snr,J1305.7-6241,J1305.5-6241,snr,J1305.7-6241,2
1609,J1306.8-2146,bcu,J1306.7-2148,rdg,J1306.8-2146,J1306.7-2148,rdg,J1306.8-2146,J1306.7-2148,rdg,J1306.8-2146,J1306.7-2148,rdg,J1306.8-2146,3
1611,J1307.6-4300,bcu,J1307.6-4259,bll,J1307.6-4300,J1307.6-4259,bll,J1307.6-4300,J1307.6-4259,bll,J1307.6-4300,J1307.6-4259,bll,J1307.6-4300,3
1612,J1308.1-6707,bcu,J1308.4-6706,bcu,J1308.1-6707,J1308.4-6706,bcu,J1308.1-6707,J1308.4-6706,bcu,J1308.1-6707,J1308.4-6706,bcu,J1308.1-6707,2
1613,J1308.7+3545,fsrq,J1308.5+3547,fsrq,J1308.7+3545,J1308.5+3547,fsrq,J1308.7+3545,J1308.5+3547,fsrq,J1308.7+3545,J1308.5+3547,fsrq,J1308.7+3545,2
1616,J1309.3+4304,bll,J1309.4+4305,bll,J1309.3+4304,J1309.4+4305,bll,J1309.3+4304,J1309.4+4305,bll,J1309.3+4304,J1309.4+4305,bll,J1309.3+4304,2
1617,J1309.5+1154,bll,J1309.7+1153,bll,J1309.5+1154,J1309.7+1153,bll,J1309.5+1154,J1309.7+1153,bll,J1309.5+1154,J1309.7+1153,bll,J1309.5+1154,2
1618,J1310.2-1159,bll,J1310.2-1158,bll,J1310.2-1159,J1310.2-1158,bll,J1310.2-1159,J1310.2-1158,bll,J1310.2-1159,J1310.2-1158,bll,J1310.2-1159,2
1619,J1310.6+2446,bcu,J1310.6+2449,bcu,J1310.6+2446,J1310.6+2449,bll,J1310.6+2446,J1310.6+2449,bll,J1310.6+2446,J1310.6+2449,bll,J1310.6+2446,3
1620,J1310.6+3222,fsrq,J1310.5+3221,fsrq,J1310.6+3222,J1310.5+3221,fsrq,J1310.6+3222,J1310.5+3221,fsrq,J1310.6+3222,J1310.5+3221,fsrq,J1310.6+3222,2
1621,J1310.7+5515,fsrq,J1310.9+5514,fsrq,J1310.7+5515,J1310.9+5514,fsrq,J1310.7+5515,J1310.9+5514,fsrq,J1310.7+5515,J1310.9+5514,fsrq,J1310.7+5515,2
1622,J1311.0+0036,bll,J1311.0+0034,bll,J1311.0+0036,J1311.0+0034,bll,J1311.0+0036,J1311.0+0034,bll,J1311.0+0036,J1311.0+0034,bll,J1311.0+0036,2
1623,J1311.8-3430,PSR,J1311.7-3430,PSR,J1311.8-3430,J1311.7-3430,PSR,J1311.8-3430,J1311.7-3430,MSP,J1311.8-3430,J1311.7-3430,MSP,J1311.8-3430,3
1626,J1312.5-2155,bll,J1312.4-2156,bll,J1312.5-2155,J1312.4-2156,bll,J1312.5-2155,J1312.4-2156,bll,J1312.5-2155,J1312.4-2156,bll,J1312.5-2155,2
1627,J1312.7+4828,agn,J1312.6+4828,bcu,J1312.7+4828,J1312.6+4828,bcu,J1312.7+4828,J1312.6+4828,bcu,J1312.7+4828,J1312.6+4828,bcu,J1312.7+4828,3
1628,J1312.7+0051,PSR,J1312.7+0050,PSR,J1312.7+0051,J1312.7+0050,PSR,J1312.7+0051,J1312.7+0050,MSP,J1312.7+0051,J1312.7+0050,MSP,J1312.7+0051,3
1629,J1312.7-2349,bcu,J1312.8-2350,bll,J1312.7-2349,J1312.8-2350,bll,J1312.7-2349,J1312.8-2350,bll,J1312.7-2349,J1312.8-2350,bll,J1312.7-2349,3
1630,J1312.8-0424,fsrq,J1312.8-0425,fsrq,J1312.8-0424,J1312.8-0425,fsrq,J1312.8-0424,J1312.8-0425,fsrq,J1312.8-0424,J1312.8-0425,fsrq,J1312.8-0424,2
1631,J1314.7-4237,bcu,J1315.0-4236,bll,J1314.7-4237,J1315.0-4236,bll,J1314.7-4237,J1315.0-4236,bll,J1314.7-4237,J1315.0-4236,bll,J1314.7-4237,3
1632,J1314.8+2349,bll,J1314.7+2348,bll,J1314.8+2349,J1314.7+2348,bll,J1314.8+2349,J1314.7+2348,bll,J1314.8+2349,J1314.7+2348,bll,J1314.8+2349,2
1633,J1315.1-5329,bcu,J1315.1-5333,bcu,J1315.1-5329,J1315.1-5333,bll,J1315.1-5329,J1315.1-5333,bll,J1315.1-5329,J1315.1-5333,bll,J1315.1-5329,3
1634,J1315.4+1130,bcu,J1315.5+1135,bll,J1315.4+1130,J1315.5+1135,bll,J1315.4+1130,J1315.5+1135,bll,J1315.4+1130,J1315.5+1135,bll,J1315.4+1130,3
1636,J1316.0-3338,fsrq,J1316.1-3338,fsrq,J1316.0-3338,J1316.1-3338,fsrq,J1316.0-3338,J1316.1-3338,fsrq,J1316.0-3338,J1316.1-3338,fsrq,J1316.0-3338,2
1639,J1317.8+3429,fsrq,J1317.6+3428,fsrq,J1317.8+3429,J1317.6+3428,fsrq,J1317.8+3429,J1317.6+3428,fsrq,J1317.8+3429,J1317.6+3428,fsrq,J1317.8+3429,2
1640,J1318.7-1232,bcu,J1318.7-1234,bcu,J1318.7-1232,J1318.7-1234,bcu,J1318.7-1232,J1318.7-1234,bcu,J1318.7-1232,J1318.7-1234,bcu,J1318.7-1232,2
1641,J1319.3+1402,bll,J1319.5+1404,bll,J1319.3+1402,J1319.5+1404,bll,J1319.3+1402,J1319.5+1404,bll,J1319.3+1402,J1319.5+1404,bll,J1319.3+1402,2
1642,J1319.6+7759,bcu,J1319.8+7759,bll,J1319.6+7759,J1319.8+7759,bll,J1319.6+7759,J1319.8+7759,bll,J1319.6+7759,J1319.8+7759,bll,J1319.6+7759,3
1643,J1321.0+2215,fsrq,J1321.1+2216,fsrq,J1321.0+2215,J1321.1+2216,fsrq,J1321.0+2215,J1321.1+2216,fsrq,J1321.0+2215,J1321.1+2216,fsrq,J1321.0+2215,2
1644,J1321.7+8312,fsrq,J1322.0+8317,fsrq,J1321.7+8312,J1322.0+8317,fsrq,J1321.7+8312,J1322.0+8317,fsrq,J1321.7+8312,J1322.0+8317,fsrq,J1321.7+8312,2
1645,J1322.3+0839,bcu,J1322.2+0842,fsrq,J1322.3+0839,J1322.2+0842,fsrq,J1322.3+0839,J1322.2+0842,fsrq,J1322.3+0839,J1322.2+0842,fsrq,J1322.3+0839,3
1646,J1322.6-1619,bcu,J1322.6-1617,bcu,J1322.6-1619,J1322.6-1617,bcu,J1322.6-1619,J1322.6-1617,bcu,J1322.6-1619,J1322.6-1617,bcu,J1322.6-1619,2
1647,J1322.8-0938,fsrq,J1322.6-0936,fsrq,J1322.8-0938,J1322.6-0936,fsrq,J1322.8-0938,J1322.6-0936,fsrq,J1322.8-0938,J1322.6-0936,fsrq,J1322.8-0938,2
1648,J1322.9+0435,bll,J1322.9+0437,bll,J1322.9+0435,J1322.9+0437,bll,J1322.9+0435,J1322.9+0437,bll,J1322.9+0435,J1322.9+0437,bll,J1322.9+0435,2
1649,J1323.0+2942,bcu,J1323.0+2941,bcu,J1323.0+2942,J1323.0+2941,bcu,J1323.0+2942,J1323.0+2941,bcu,J1323.0+2942,J1323.0+2941,bcu,J1323.0+2942,2
1651,J1323.9+1405,bll,J1323.9+1405,bll,J1323.9+1405,J1323.9+1405,bll,J1323.9+1405,J1323.9+1405,bll,J1323.9+1405,J1323.9+1405,bll,J1323.9+1405,2
