,4fgldr2,4fgldr2_features,4fgldr2_labels,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
42,J0030.6-0212,"[2.403325080871582, 2.2993688583374023, 2.058110475540161, 725.4195556640625, -29.004875737103138, -28.722065922875686, -27.88860830920921, -28.80241250680057, -23.34407308893841, 0.12841904163360596, 0.9593102931976318, 5.422337532043457, 40.932525634765625, 0.0703402430720846, -0.5110883918592009, -0.7089552437019389, -0.6389058519459095, -0.879182314819115, -0.9998959204212823]",[1],J0030.7-0209,bcu,J0030.6-0212,bcu,bcu,J0030.6-0212,fsrq,J0030.6-0212,fsrq
43,J0031.3+0726,"[1.91562020778656, 1.8350496292114258, 1.6256682872772217, 13.153173446655273, -33.67659009670537, -33.3643346774177, -28.582644243494133, -33.46044607907988, -24.096814460211775, 0.08665937930345535, 0.3059086203575134, 1.0381810665130615, 7.880674362182617, -0.6388311798835585, -0.9024501377691755, 0.6022449585007306, -0.7807650364877468, 0.02451415217545272, -0.6113080522699962]",[1],J0031.3+0724,bcu,J0031.3+0726,bll,bll,J0031.3+0726,bll,J0031.3+0726,bll
44,J0032.4-2849,"[2.3642773628234863, 2.303434133529663, 2.2604942321777344, 14.111947059631348, -31.056746705044553, -30.748157611203357, -28.749388215042462, -30.915799907084338, -24.27178362369147, 0.09098505973815918, 0.44307202100753784, 0.965906023979187, 7.377357006072998, -0.6832011014587601, -0.2807667517011069, -0.6821766084810647, -0.6918082647221393, -0.8014480270434494, -0.08514106626281927]",[1],J0032.3-2852,bll,J0032.4-2849,bll,bll,J0032.4-2849,bll,J0032.4-2849,bll
45,J0033.5-1921,"[1.7602993249893188, 1.6196341514587402, 1.551045298576355, 74.24559783935547, -31.170986983403004, -30.96249452174099, -27.31430286827728, -31.0589785957994, -23.08542200620658, 0.07244495302438736, 0.25645124912261963, 5.371826171875, 67.0898666381836, 0.9570969383756647, 0.07697561795108288, -0.4036600052762044, -0.31452335703073997, -0.4616845991549626, -0.45840917702320966]",[1],J0033.6-1921,bll,J0033.5-1921,bll,bll,J0033.5-1921,bll,J0033.5-1921,bll
46,J0034.3-0534,"[2.2081563472747803, 1.9895702600479126, 1.4976067543029785, 5.717992782592773, -29.446312693506403, -29.059327544168262, -28.004386928861397, -29.14021233467364, -23.057604416181977, 0.23326264321804047, 0.0, 10.92908000946045, 57.63230514526367, 0.03948809784726988, -0.31578473552470643, -0.561183446407785, -0.6901890363828351, -0.9137832930711725, -0.9998585773797686]",[0],J0034.3-0534,PSR,J0034.3-0534,PSR,PSR,J0034.3-0534,MSP,J0034.3-0534,MSP
47,J0035.2+1514,"[1.8548170328140259, 1.717626929283142, 1.6215420961380005, 28.935970306396484, -31.772472029994855, -31.5485068093571, -27.743863056220164, -31.637532390866298, -23.39832178057445, 0.0810696929693222, 0.2697529196739197, 3.164918899536133, 31.93866539001465, 0.41318488223637095, -0.3835024848332199, -0.39406206528958665, -0.37745257248431197, -0.48543970443615736, -0.5538983511512017]",[1],J0035.2+1513,bll,J0035.2+1514,bll,bll,J0035.2+1514,bll,J0035.2+1514,bll
48,J0035.9+5950,"[1.7616578340530396, 1.661505103111267, 1.6128432750701904, 197.9702911376953, -32.19567789583394, -32.01972081856539, -27.260438192828556, -32.110347478440225, -22.949474103052548, 0.05187775939702988, 0.4717918038368225, 3.3714077472686768, 64.34468841552734, 0.9720080462537986, -0.1342396589658169, -0.4637400074802515, -0.27850660608726546, -0.4219518730935974, -0.35833337780287605]",[1],J0035.9+5949,bll,J0035.9+5950,bll,bll,J0035.9+5950,bll,J0035.9+5950,bll
49,J0037.8+1239,"[2.2157862186431885, 2.2195632457733154, 2.1847803592681885, 61.5361442565918, -31.01697368984597, -30.874948798601746, -28.17083507139373, -30.957528631277206, -23.62406899198737, -0.004597567021846771, 0.5309857726097107, 0.15489855408668518, 20.482580184936523, 0.9929630396153698, -0.5905239692393328, -0.6439487087444622, -0.505350476219209, -0.6191249033164598, -0.60521208806131]",[1],J0037.9+1239,bll,J0037.8+1239,bll,bll,J0037.8+1239,bll,J0037.8+1239,bll
50,J0038.1+0012,"[2.0260841846466064, 2.0066633224487305, 1.9145076274871826, 8.304557800292969, -32.339567174755366, -32.1654128712819, -28.37297016868472, -32.23008687298938, -23.888530511460207, 0.02151092141866684, 0.0, 0.576249361038208, 16.237686157226562, -0.7362773450100377, -0.3791493035342807, -0.6644703896950646, -0.3114041760700362, -0.5769421807732382, -0.5810890994815319]",[1],J0038.0+0012,bll,J0038.1+0012,bll,bll,J0038.1+0012,bll,J0038.1+0012,bll
51,J0038.2-2459,"[2.2622263431549072, 2.164599657058716, 2.034651279449463, 1644.3140869140625, -29.581421230075378, -29.35274985095861, -27.975069253621193, -29.44034550821189, -23.42587017900699, 0.0890856459736824, 1.7992061376571655, 4.095483779907227, 43.556114196777344, -0.07735329482214856, -0.42463196546843507, -0.6541996107004152, -0.579218843534032, -0.828256166095751, -0.6859381927651802]",[1],J0038.0-2501,fsrq,J0038.2-2459,fsrq,fsrq,J0038.2-2459,fsrq,J0038.2-2459,fsrq
52,J0039.0-0946,"[2.6902740001678467, 2.6325483322143555, 2.3733444213867188, 17.683334350585938, -29.012057288097935, -28.738997075754103, -28.399378829963474, -28.79890537911171, -24.07199617830788, 0.09802725166082382, 0.3107459843158722, 1.3823211193084717, 10.678061485290527, 0.9999300542607314, -0.6125875722232672, -0.7878231973186601, -0.7642000893246957, -0.9999928615129751, 0.9111499751774026]",[1],J0039.1-0939,fsrq,J0039.0-0946,fsrq,fsrq,J0039.0-0946,fsrq,J0039.0-0946,fsrq
