,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
10,J2039.6-5618,J2039.5-5617,,J2039.6-5618,J2039.5-5617,PSR,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618,J2039.5-5617,MSP,J2039.6-5618
11,J0212.1+5320,J0212.1+5321,,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320,J0212.1+5321,bin,J0212.1+5320
12,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627,J2017.9+3625,PSR,J2017.9+3627
13,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
14,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
15,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
16,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
17,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
18,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
19,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
20,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119
21,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302
22,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232
23,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,,,
24,J1745.3-2903c,,,,,,,,,,,,
25,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004
26,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403
27,J1747.0-2828,,,,,,,,,,,,
28,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041
29,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324
