,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
69,J1503.5-5801,"[2.4994966983795166, 4.211767538671139, -26.618506387206505, -26.209415646765866, 1.603420565438036, -0.8552901813629556]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
70,J0318.1+0252,"[1.713058590888977, 3.9164080608419654, -27.94280465766827, -27.93148070251134, 1.7471619753258603, -0.6835353038994774]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
71,J1740.5-2726,"[2.3238229751586914, 3.7647419480202355, -24.72223409315641, -26.20199075121467, 1.8197393458431674, -0.884958074610117]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
72,J2233.1+6542,"[2.2777016162872314, 3.9606877490188324, -25.174257306930162, -27.089238562532778, 1.6687137354104957, -0.8949854637663582]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
73,J1857.2+0059,"[2.2630648612976074, 4.045430746533013, -27.78138489493274, -25.468670515531183, 1.645447718262692, -0.7807852495159978]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
74,J2103.7-1113,"[1.937874674797058, 3.9134384003786855, -28.14980168616044, -27.747415471214275, 1.4515085110360368, -0.053370031747439026]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
75,J0802.3-5610,"[2.470546007156372, 3.792388395520617, -26.12780302129686, -27.466737453041688, 1.2892070642566724, -0.8952136072701607]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
76,J1350.4-6224,"[2.1646053791046143, 4.064596405277353, -27.661915202674784, -26.45285219779332, 1.8208090247978184, -0.25617185724513314]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
77,J1139.0-6244,"[2.274595260620117, 3.382675089020219, -27.265008458833297, -26.521551086486525, 0.9341028562865595, -0.7980749366827464]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
78,J0847.4-4327,"[2.752105712890625, 3.8666965317958293, -25.266946616427088, -26.39986036231047, 1.8849112081406298, -0.7430267081436561]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
79,J0758.6-1451,"[1.9843422174453735, 3.653969952811001, -27.178284945894415, -27.574564298437572, 1.4436523114018271, -0.7475134218048474]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
80,J0039.3+6256,"[1.874800205230713, 4.057733143313814, -27.815314180529832, -27.49709378729681, 2.0044840167992795, -0.21055633797974577]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
81,J2035.0+3634,"[1.8908002376556396, 3.96236596206577, -27.97005036355265, -27.031451147515483, 1.7917593897551922, 0.0046954980455808926]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
82,J2048.8+4436,"[2.4438602924346924, 4.129221490605681, -24.81947160156858, -26.875588398859886, 2.14144478680472, -0.807155680096048]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
83,J1329.8-6109,"[2.106318712234497, 4.019309521600976, -27.411403357379314, -26.75977389397214, 1.5162276913943173, -0.7127650862689636]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
84,J1813.6-1148,"[2.874154806137085, 3.455252957999292, -23.45719842834628, -26.05759699534818, 1.9737156225342425, -0.8973841090994892]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
85,J2038.4+4212,"[2.6963083744049072, 3.821404750831657, -26.789135408994856, -26.06633713751639, 1.9579565243383867, -0.7785322270699998]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
86,J1749.2-2911,"[2.5724856853485107, 3.732293819178745, -26.858030844892994, -25.679925164386606, 1.925997483487302, -0.12555127822072526]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
